n,negative,positive,absolute,fabs,rint,sign,conj,conjugate,exp,exp2,log,log2,log10,expm1,log1p,sqrt,square,cbrt,reciprocal
4096,8.984100000000001e-05,8.1927e-05,0.000150617,0.00010174500000000001,0.000329695,0.00011680100000000001,8.7976e-05,9.2069e-05,0.001150784,0.0009480360000000001,0.001601102,0.0010772730000000001,0.0018842180000000002,0.001134012,0.001154913,0.000247817,0.000132749,0.0014258110000000001,0.00020834
8192,0.000171626,0.000149736,0.00024755,0.000180124,0.000625984,0.00020873400000000002,0.00015356700000000002,0.00015732700000000002,0.002288421,0.0018557740000000001,0.0031616,0.0021172450000000002,0.003727737,0.0022758640000000003,0.0022744880000000003,0.000457287,0.00020452100000000002,0.002814921,0.00037384
16384,0.00032406400000000005,0.000278236,0.00045602500000000004,0.00033718400000000003,0.0012157720000000002,0.00038449800000000004,0.00027802,0.00028540600000000004,0.004611128,0.003677721,0.00629703,0.004196989,0.007426609000000001,0.004428179,0.004510336,0.0008764380000000001,0.000387024,0.005600791,0.000705759
32768,0.000746772,0.00069634,0.000949189,0.000785904,0.002432268,0.000866213,0.0007355780000000001,0.000705289,0.008984482,0.007361350000000001,0.012635397000000001,0.008387364000000001,0.01488615,0.008848918,0.009058544,0.00174641,0.000857736,0.011242601000000001,0.001402309
65536,0.0030463680000000003,0.002951469,0.0033079790000000004,0.0030638740000000003,0.006244581000000001,0.0032202990000000003,0.0029817150000000002,0.0029834170000000004,0.019681070000000002,0.016308804,0.027524919000000002,0.018153052000000003,0.031372844000000004,0.019079241,0.019559814000000002,0.004824471,0.0031760770000000002,0.023626424,0.004144678000000001
131072,0.006228073000000001,0.006084364,0.006615599000000001,0.0062335,0.012516867000000001,0.0065017550000000006,0.006058463,0.006125759000000001,0.039104271,0.032631882,0.053783302000000005,0.03641188,0.06288637300000001,0.038080226,0.039023076000000004,0.009682300000000001,0.006386447000000001,0.047381480000000004,0.008171932
262144,0.012493706,0.012177295000000001,0.013341698,0.012494328,0.024958129000000003,0.013055058000000001,0.012205221,0.012174366,0.08206529400000001,0.06536341100000001,0.111123549,0.07481642200000001,0.130792591,0.07729622400000001,0.079567921,0.019207531,0.012796789000000001,0.09510513400000001,0.016388497000000002
524288,0.025051195000000002,0.024446824000000002,0.026644739,0.025283059,0.050036131000000005,0.025998322,0.024397646000000002,0.024369368000000002,0.158957588,0.13207190800000002,0.217263497,0.14615292500000002,0.254173243,0.153273036,0.157420908,0.038320065,0.025620843,0.19619969,0.032693895
1048576,0.046410780000000006,0.049215466000000006,0.055027262,0.051194478,0.102479998,0.053470087000000006,0.048991246,0.048945486,0.31964934300000003,0.26344420300000004,0.44089431700000004,0.292201255,0.514101526,0.306498588,0.3147594,0.077352457,0.051220568,0.38054463200000005,0.065604919
2097152,0.105911504,0.10214429600000001,0.111822744,0.100944871,0.202676088,0.106450372,0.10842464700000001,0.102679792,0.6393566260000001,0.527677194,0.868374426,0.595058564,1.014235,0.6128163240000001,0.628248213,0.155790599,0.106485059,0.7898795900000001,0.147690552
4194304,0.19567946300000003,0.206532508,0.23113681300000002,0.215669926,0.40358100900000005,0.21972622300000003,0.206065088,0.205034711,1.331473182,1.056448493,1.802023139,1.206188137,2.124667482,1.241198083,1.2896790100000002,0.314828952,0.21814459200000003,1.599122077,0.29824459600000003
8388608,0.394557724,0.41326953000000005,0.45976538100000003,0.428601526,0.833071941,0.453498116,0.414233463,0.414991863,2.6773056250000002,2.266471296,3.5837337930000004,2.3979012920000002,4.197839921,2.4803455640000003,2.55338534,0.6476262420000001,0.43867518200000005,3.1541711550000002,0.594504168
16777216,0.7886507190000001,1.440198847,1.007270805,0.881403938,1.7316947880000002,0.9154460510000001,0.86654405,0.8543063120000001,5.314276633,4.221027452,7.21809482,4.748088774,8.300912002,5.016015494,5.132627307,1.274456279,0.902951366,6.259302098,1.2042199930000002
